time,elapsed_s,state,battery,fan,water,mode,clean_time_s,clean_area_raw,fault
2026-06-12T14:52:39,1.2,mopping,69,max_plus,high,mop,3167,32,0
2026-06-12T14:52:40,2.2,mopping,69,max_plus,high,mop,3168,32,0
2026-06-12T14:52:41,3.4,mopping,69,max_plus,high,mop,3169,32,0
2026-06-12T14:52:42,4.0,mopping,69,max_plus,high,mop,3170,32,0
2026-06-12T14:52:43,4.9,mopping,69,max_plus,high,mop,3171,32,0
2026-06-12T14:52:44,6.1,mopping,69,max_plus,high,mop,3172,32,0
2026-06-12T14:52:45,7.1,mopping,69,max_plus,high,mop,3173,32,0
2026-06-12T14:52:46,8.2,mopping,69,max_plus,high,mop,3174,32,0
2026-06-12T14:52:47,9.4,mopping,69,max_plus,high,mop,3175,32,0
2026-06-12T14:52:48,10.0,mopping,69,max_plus,high,mop,3176,32,0
2026-06-12T14:52:49,11.0,mopping,69,max_plus,high,mop,3177,32,0
2026-06-12T14:52:50,12.2,mopping,69,max_plus,high,mop,3178,32,0
2026-06-12T14:52:51,13.1,mopping,69,max_plus,high,mop,3179,32,0
2026-06-12T14:52:52,14.2,mopping,69,max_plus,high,mop,3180,32,0
2026-06-12T14:52:53,15.3,mopping,69,max_plus,high,mop,3181,32,0
2026-06-12T14:52:54,15.9,mopping,69,max_plus,high,mop,3182,32,0
2026-06-12T14:52:55,16.8,mopping,69,max_plus,high,mop,3183,32,0
2026-06-12T14:52:56,18.0,mopping,69,max_plus,high,mop,3184,32,0
2026-06-12T14:52:57,19.1,mopping,69,max_plus,high,mop,3185,32,0
2026-06-12T14:52:58,20.4,mopping,69,max_plus,high,mop,3186,32,0
2026-06-12T14:52:59,20.8,mopping,69,max_plus,high,mop,3187,32,0
2026-06-12T14:53:00,22.0,mopping,69,max_plus,high,mop,3188,32,0
2026-06-12T14:53:01,23.1,mopping,69,max_plus,high,mop,3189,33,0
2026-06-12T14:53:02,24.2,mopping,69,max_plus,high,mop,3190,33,0
2026-06-12T14:53:03,25.2,mopping,69,max_plus,high,mop,3191,33,0
2026-06-12T14:53:04,26.3,mopping,69,max_plus,high,mop,3192,33,0
2026-06-12T14:53:05,26.9,mopping,69,max_plus,high,mop,3193,33,0
2026-06-12T14:53:06,27.9,mopping,69,max_plus,high,mop,3194,33,0
2026-06-12T14:53:07,29.0,mopping,69,max_plus,high,mop,3195,33,0
2026-06-12T14:53:08,30.1,mopping,69,max_plus,high,mop,3196,33,0
2026-06-12T14:53:09,30.8,mopping,69,max_plus,high,mop,3196,33,0
2026-06-12T14:53:09,31.2,mopping,69,max_plus,high,mop,3197,33,0
2026-06-12T14:53:10,32.3,mopping,69,max_plus,high,mop,3198,33,0
2026-06-12T14:53:11,33.4,mopping,69,max_plus,high,mop,3199,33,0
2026-06-12T14:53:12,33.9,mopping,69,max_plus,high,mop,3200,33,0
2026-06-12T14:53:13,35.1,mopping,69,max_plus,high,mop,3201,33,0
2026-06-12T14:53:14,36.2,mopping,69,max_plus,high,mop,3202,33,0
2026-06-12T14:53:15,37.0,mopping,69,max_plus,high,mop,3203,33,0
2026-06-12T14:53:16,38.3,mopping,69,max_plus,high,mop,3204,33,0
2026-06-12T14:53:17,39.3,mopping,69,max_plus,high,mop,3205,33,0
2026-06-12T14:53:18,39.8,mopping,69,max_plus,high,mop,3206,33,0
2026-06-12T14:53:19,41.1,mopping,69,max_plus,high,mop,3207,33,0
2026-06-12T14:53:20,42.1,mopping,69,max_plus,high,mop,3208,33,0
2026-06-12T14:53:21,43.2,mopping,69,max_plus,high,mop,3209,33,0
